time_s,r1_x_km,r1_y_km,r1_z_km,r2_x_km,r2_y_km,r2_z_km,distance_km
940.0,454.68678895218056,5200.670537227093,-4657.738104265458,-1125.5460206131386,4471.500689047227,-5263.297601699331,1842.6954997648731
945.0,422.1643137516111,5189.482489658476,-4673.300373273768,-1157.4918167610201,4453.302879746596,-5271.837510092676,1842.6938467546697
950.0,389.62955435475527,5178.143437828051,-4688.726657958865,-1189.4039478198722,4434.975548277724,-5280.224089634695,1842.692194786655
955.0,357.08345761901336,5166.653713762183,-4704.016511329053,-1221.2814861618535,4416.519229625234,-5288.457098719114,1842.6905438072406
960.0,324.5269707059879,5155.013653869046,-4719.169490380981,-1253.1235051942745,4397.9344625131325,-5296.536300218207,1842.688893762065
965.0,291.96104105377896,5143.223598928553,-4734.185156112376,-1284.9290793865787,4379.2217893888455,-5304.461461489443,1842.6872445960191
970.0,259.3866163492756,5131.283894082143,-4749.063073534648,-1316.6972842972739,4360.38175640719,-5312.232354382,1842.6855962532456
975.0,226.80464450043857,5119.1948888224515,-4763.802811685381,-1348.427196600845,4341.414913414191,-5319.848755243158,1842.683948677166
980.0,194.21607360858505,5106.956936982858,-4778.403943640711,-1380.1178941146093,4322.321813930838,-5327.310444924536,1842.6823018104783
985.0,161.62185194066566,5094.570396726891,-4792.86604652757,-1411.7684558255646,4303.103015136703,-5334.617208788224,1842.6806555951878
990.0,129.0229279015431,5082.035630537526,-4807.188701535815,-1443.3779619171685,4283.759077853469,-5341.768836712765,1842.6790099726065
995.0,96.42025000627937,5069.35300520635,-4821.3714939302445,-1474.9454937961023,4264.290566528345,-5348.765123099001,1842.6773648833862
1000.0,63.814766852393355,5056.522891822589,-4835.414013062482,-1506.4701341189837,4244.698049217392,-5355.605866875803,1842.6757202675085
1005.0,31.207427092157264,5043.545665762033,-4849.315852382742,-1537.9509668190465,4224.9820975687235,-5362.290871505655,1842.6740760643227
1010.0,-1.400820595138816,5030.421706675815,-4863.07660945148,-1569.3870771327715,4205.143286805623,-5368.819944990096,1842.6724322125365
1015.0,-34.009027530895935,5017.151398479077,-4876.695885950912,-1600.7775516264853,4185.182195709545,-5375.192899875055,1842.6707886502486
1020.0,-66.61624506491754,5003.735129339522,-4890.173287696414,-1632.1214782229154,4165.099406603023,-5381.409553256032,1842.669145314971
1025.0,-99.22152460314213,4990.173291665806,-4903.508424647806,-1663.4179462276923,4144.895505332473,-5387.469726783145,1842.667502143607
1030.0,-131.82391763532132,4976.466282095854,-4916.700910920497,-1694.6660463558155,4124.571081250888,-5393.373246666049,1842.6658590725046
1035.0,-164.42247576274113,4962.614501485017,-4929.750364796527,-1725.864870758087,4104.126727200447,-5399.119943678729,1842.664216037456
1040.0,-197.01625072590582,4948.618354894127,-4942.656408735466,-1757.0135130474682,4083.5630394950194,-5404.709653164139,1842.662572973707
1045.0,-229.60429443223356,4934.478251577415,-4955.41866938521,-1788.1110683254249,4062.8806179025555,-5410.142215038725,1842.6609298159774
1050.0,-262.1856589837227,4920.194604970323,-4968.036777592622,-1819.1566332082039,4042.0800656273977,-5415.4174737968,1842.659286498484
1055.0,-294.7593967046355,4905.767832677181,-4980.510368414087,-1850.149305853068,4021.161989292487,-5420.5352785148,1842.6576429549402
1060.0,-327.32456016915006,4891.198356458766,-4992.839081125909,-1881.0881859844847,4000.1269989214647,-5425.495482855387,1842.6559991185777
